time_ns,device,sensor,x,y,z,extra
1774665763382030800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7265427508330357, ""qx"": -0.31038057502562943, ""qz"": 0.37336200454616886, ""roll"": -0.26947967438899484, ""qw"": -0.8374869752685767, ""qy"": 0.25075975808447243, ""pitch"": 0.7854277613595566}"
1774665763392013800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7222551264636492, ""qx"": -0.31072844367674635, ""qz"": 0.3715292541019632, ""roll"": -0.2692131121863557, ""qw"": -0.8384272508010623, ""qy"": 0.24990700828851217, ""pitch"": 0.7848823024218538}"
1774665763401996500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7177943634407125, ""qx"": -0.311086554935699, ""qz"": 0.369621658798719, ""roll"": -0.26894679654217307, ""qw"": -0.8393998208961654, ""qy"": 0.2490241041418943, ""pitch"": 0.7843163385914981}"
1774665763411979800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7131945928031678, ""qx"": -0.311434548892769, ""qz"": 0.36766090749927716, ""roll"": -0.2687277854590354, ""qw"": -0.8403948663737741, ""qy"": 0.24813403568857845, ""pitch"": 0.7837132462448733}"
1774665763421962800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7084928984672659, ""qx"": -0.31174745779771845, ""qz"": 0.3656605950333544, ""roll"": -0.2685423295082684, ""qw"": -0.8414173882012772, ""qy"": 0.24722985259112912, ""pitch"": 0.7830210238981816}"
1774665763431945700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7036951910645753, ""qx"": -0.3120274994807743, ""qz"": 0.36361847760665805, ""roll"": -0.2683618924764153, ""qw"": -0.8424706466203181, ""qy"": 0.24630002221502625, ""pitch"": 0.7822349205036848}"
1774665763441929500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6987680615768986, ""qx"": -0.3122986004679306, ""qz"": 0.3615256987825617, ""roll"": -0.26822395292107554, ""qw"": -0.8435434332489606, ""qy"": 0.24536357460662384, ""pitch"": 0.781415965389442}"
1774665763451912700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6936819053966056, ""qx"": -0.31255221341062206, ""qz"": 0.3593700490717125, ""roll"": -0.26813098956348, ""qw"": -0.844645710630426, ""qy"": 0.24441353949288355, ""pitch"": 0.7805377118903264}"
1774665763461895700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6885219833866704, ""qx"": -0.3128176537686909, ""qz"": 0.3571756469047047, ""roll"": -0.26801082661926345, ""qw"": -0.8457583761835445, ""qy"": 0.24344096368109464, ""pitch"": 0.7796614078635091}"
1774665763471878700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.6833034486476036, ""qx"": -0.3130939743361177, ""qz"": 0.35494513014108403, ""roll"": -0.26783991821664427, ""qw"": -0.8468827321617, ""qy"": 0.2424372520401834, ""pitch"": 0.7787800326684626}"
